Barcode,Title,Author,Cover URL
GR/395182,Lucky Jim,Kingsley Amis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373459729i/395182._SY75_.jpg
GR/22590,Ubik,Philip K. Dick,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327995569i/22590._SY75_.jpg
GR/85386,"Rabbit, Run (Rabbit Angstrom #1)",John Updike,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578676i/85386._SX50_.jpg
GR/24100,The Golden Notebook,Doris Lessing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367457541i/24100._SY75_.jpg
GR/3692,The Heart of the Matter,Graham Greene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385263150i/3692._SY75_.jpg
GR/7805,Pale Fire,Vladimir Nabokov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388155863i/7805._SY75_.jpg
GR/10739,The Moviegoer,Walker Percy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437668043i/10739._SY75_.jpg
GR/577283,The Confessions of Nat Turner,William Styron,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406138384i/577283._SY75_.jpg
GR/249,Tropic of Cancer,Henry Miller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408753140i/249._SY75_.jpg
GR/126583,Appointment in Samarra,John O'Hara,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320446769i/126583._SY75_.jpg
GR/18825,Money,Martin Amis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367084993i/18825._SY75_.jpg
GR/592657,Deliverance,James Dickey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334998332i/592657._SY75_.jpg
GR/113441,The Day of the Locust,Nathanael West,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387706380i/113441._SY75_.jpg
GR/11741,Housekeeping,Marilynne Robinson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882949i/11741._SY75_.jpg
GR/304344,The Man Who Loved Children,Christina Stead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311987244i/304344._SX50_.jpg
GR/24835,The Sot-Weed Factor,John Barth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349029340i/24835._SY75_.jpg
GR/11908,The Adventures of Augie March,Saul Bellow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388270246i/11908._SY75_.jpg
GR/6551,Herzog,Saul Bellow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924221i/6551._SY75_.jpg
GR/97333,At Swim-Two-Birds,Flann O'Brien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584237539i/97333._SY75_.jpg
GR/366524,Call It Sleep,Henry Roth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388873875i/366524._SY75_.jpg
GR/243598,The Sheltering Sky,Paul Bowles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347986956i/243598._SY75_.jpg
GR/531262,A Handful of Dust,Evelyn Waugh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266314i/531262._SY75_.jpg
GR/40722,The Sportswriter,Richard Ford,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327936345i/40722._SY75_.jpg
